city,country,housing,cost_of_living,startups,venture_capital,travel_connectivity,commute,business_freedom,safety,healthcare,education,environmental_quality,economy,taxation,internet_access,leisure_and_culture,tolerance,outdoors,population,city_wd,gps_lon,gps_lat,year_high_c,year_mean_c,year_low_c,year_precipitation_mm,human_freedom,economic_freedom,personal_freedom
Geneva,Switzerland,1.078,1.0,4.692,3.089,5.867,6.003,8.888,8.427,7.443,5.186,8.602,6.552,6.429,8.378,5.244,8.62,6.554,198899,http://www.wikidata.org/entity/Q71,6.15,46.2,15.2,10.5,6.2,1006,1,3,2
Lausanne,Switzerland,4.076,1.0,3.822,3.308,6.514,5.858,8.888,8.032,7.352,6.622,8.81,6.552,6.429,4.146,4.222,8.454,5.338,144426,http://www.wikidata.org/entity/Q807,6.633333333,46.533333333,14.4,10.8,7.9,1152,1,3,2
Zurich,Switzerland,1.473,1.0,6.204,3.872,7.733,5.839,8.888,9.066,7.67,7.288,8.643,6.552,6.429,7.268,4.966,8.784,5.401,415682,http://www.wikidata.org/entity/Q72,8.54,47.378611111,,,,,1,3,2
Bogota,Colombia,9.028,9.08,5.708,1.259,1.889,4.964,6.349,6.222,6.302,1.534,4.348,4.594,1.852,2.976,6.215,8.555,7.477,8181047,http://www.wikidata.org/entity/Q2841,-74.080833333,4.598888888,19.5,14.5,9,1013,91,99,94
Medellin,Colombia,9.232,9.315,4.618,0.0,0.928,5.354,6.349,7.477,6.791,1.531,6.171,4.594,1.852,4.148,5.029,9.302,3.662,2529403,http://www.wikidata.org/entity/Q48278,-75.574827777,6.244747222,27.8,22.5,17.3,,91,99,94
Bologna,Italy,7.472,5.189,3.149,1.397,3.682,5.53,6.19,7.337,8.578,4.203,5.46,3.362,2.436,7.71,5.736,7.618,1.582,388367,http://www.wikidata.org/entity/Q1891,11.342777777,44.493888888,18.3,13.6,8.8,671.3,33,44,32
Florence,Italy,6.775,4.649,2.228,0.0,4.306,6.029,6.19,7.972,8.164,4.058,6.009,3.362,2.436,4.442,8.503,6.736,1.677,382258,http://www.wikidata.org/entity/Q2044,11.254166666,43.771388888,20.4,14.9,9.3,872.6,33,44,32
Milan,Italy,5.195,4.801,5.19,3.286,6.683,5.512,6.19,7.378,8.445,4.283,4.458,3.362,2.436,5.014,7.917,7.22,5.641,1351562,http://www.wikidata.org/entity/Q490,9.190336,45.464161,17.7,13,8.3,920.1,33,44,32
Naples,Italy,8.215,5.81,2.041,0.0,3.941,4.706,6.19,6.39,7.186,4.058,1.656,3.362,2.436,5.314,6.045,6.754,5.359,972212,http://www.wikidata.org/entity/Q2634,14.25,40.833333333,20.9,15.9,11,1006.6,33,44,32
Rome,Italy,5.602,5.323,4.674,1.013,6.434,4.533,6.19,6.605,7.864,4.157,4.276,3.362,2.436,4.491,9.11,6.222,6.396,2873494,http://www.wikidata.org/entity/Q220,12.482777777,41.893055555,20.4,15.2,10,804.3,33,44,32
Turin,Italy,8.07,5.612,3.25,0.0,3.15,5.609,6.19,6.252,8.368,4.102,3.886,3.362,2.436,2.369,7.061,5.777,5.705,889600,http://www.wikidata.org/entity/Q495,7.7,45.066666666,17.1,12,7,981,33,44,32
Bordeaux,France,7.192,4.583,3.692,0.0,4.876,5.55,8.088,7.466,8.823,4.442,7.261,4.204,2.648,3.875,5.3,7.126,2.876,249712,http://www.wikidata.org/entity/Q1479,-0.5794444440000001,44.837777777,18.5,13.8,9.1,944.1,42,54,45
Grenoble,France,7.505,4.317,2.743,1.852,3.996,5.526,8.088,5.888,9.063,4.549,6.151,4.204,2.648,3.758,3.178,5.05,4.646,160649,http://www.wikidata.org/entity/Q1289,5.726388888,45.186944444,16.1,,6.3,934.3,42,54,45
Lille,France,7.532,5.399,3.258,2.381,6.02,2.294,8.088,6.942,9.071,4.394,4.24,4.204,2.648,3.827,5.11,7.203,2.293,232741,http://www.wikidata.org/entity/Q648,3.0575,50.631944444,14.5,10.8,7.1,742.5,42,54,45
Lyon,France,6.697,4.349,4.5,3.083,5.963,5.185,8.088,7.134,8.642,4.58,6.543,4.204,2.648,9.403,5.988,6.517,5.374,506615,http://www.wikidata.org/entity/Q456,4.841388888,45.758888888,16.9,12.5,8.1,831.9,42,54,45
Marseille,France,7.588,6.026,3.31,2.843,5.951,5.861,8.088,5.252,8.844,4.442,3.942,4.204,2.648,5.542,5.443,6.174,5.184,855393,http://www.wikidata.org/entity/Q23482,5.376388888,43.296666666,20,15.8,11.5,523.2,42,54,45
Nantes,France,7.722,5.021,3.353,2.23,4.989,5.998,8.088,7.636,8.533,4.405,7.323,4.204,2.648,4.867,4.351,7.056,2.672,303382,http://www.wikidata.org/entity/Q12191,-1.553888888,47.217222222,16.7,12.5,8.2,819.5,42,54,45
Nice,France,6.498,4.475,3.098,2.603,6.46,6.051,8.088,7.234,8.33,4.405,6.423,4.204,2.648,6.472,4.78,6.467,5.526,342522,http://www.wikidata.org/entity/Q33959,7.268333333,43.701944444,19.6,16,12.3,733,42,54,45
Paris,France,3.584,3.664,9.276,7.513,10.0,5.331,8.088,6.246,8.208,7.085,4.362,4.204,2.648,9.716,9.816,5.579,4.433,2206488,http://www.wikidata.org/entity/Q90,2.351827777,48.856577777,16,12.4,8.8,637.4,42,54,45
Toulouse,France,7.544,4.552,3.577,2.042,5.126,5.068,8.088,6.967,8.832,4.442,5.08,4.204,2.648,4.622,4.137,7.634,3.304,471941,http://www.wikidata.org/entity/Q7880,1.443888888,43.604444444,18.5,13.8,9.1,638.3,42,54,45
Bratislava,Slovakia,7.874,7.618,3.487,0.0,4.89,5.812,6.189,8.618,6.752,3.298,6.2,4.47,4.937,4.584,6.186,6.432,4.858,425923,http://www.wikidata.org/entity/Q1780,17.112777777,48.144722222,15.4,10.5,6,565,37,54,36
Brussels,Belgium,6.355,4.477,5.692,3.374,7.468,5.387,8.877,6.703,8.158,6.653,4.591,4.812,1.883,7.572,8.144,6.481,4.123,176545,http://www.wikidata.org/entity/Q239,4.3547,50.8467,,,,,21,46,15
Bucharest,Romania,9.187,8.516,5.383,1.187,3.496,5.073,5.682,8.986,6.075,2.448,3.419,4.103,6.839,9.638,6.959,8.687,1.968,1883425,http://www.wikidata.org/entity/Q19660,26.083333333,44.4,17.1,10.9,5.2,644,38,19,48
Cluj-Napoca,Romania,9.165,8.794,3.409,1.899,1.763,5.876,5.682,9.474,6.434,2.448,6.401,4.103,6.839,8.666,2.628,8.624,4.255,324576,http://www.wikidata.org/entity/Q100188,23.559444444,46.78,14.2,8.7,4.2,594.4,38,19,48
Budapest,Hungary,8.57,7.948,5.494,2.804,4.427,5.395,6.708,8.218,5.746,3.693,5.288,4.946,6.108,6.759,8.253,7.228,5.112,1752704,http://www.wikidata.org/entity/Q1781,19.040833333,47.498333333,15.3,11.3,7.8,532,67,57,78
Buenos Aires,Argentina,8.812,7.764,4.673,2.31,3.77,4.924,4.045,6.04,6.979,1.422,4.869,2.884,1.568,1.528,7.674,8.584,4.536,2890151,http://www.wikidata.org/entity/Q1486,-58.381944444,-34.599722222,22.7,17.9,13.6,1236.3,74,161,29
Calgary,Canada,6.495,5.418,5.95,2.036,2.514,5.158,8.966,7.923,8.026,5.555,8.191,5.841,7.275,5.671,4.268,8.11,7.504,1239220,http://www.wikidata.org/entity/Q36312,-114.066666666,51.05,10.8,4.4,-1.9,418.8,13,14,13
Edmonton,Canada,6.73,5.522,4.624,2.392,1.902,5.097,8.966,7.118,8.269,5.948,8.176,5.841,7.275,4.61,3.974,7.925,3.385,932546,http://www.wikidata.org/entity/Q2096,-113.5,53.5,9.3,4.2,-1,455.8,13,14,13
Halifax,Canada,6.895,4.943,3.624,2.284,1.57,5.403,8.966,7.189,7.886,5.42,7.618,5.841,7.275,6.124,3.942,7.853,4.023,403131,http://www.wikidata.org/entity/Q2141,-63.571388888,44.647777777,11.2,6.6,1.9,1396.2,13,14,13
Montreal,Canada,7.392,5.948,8.103,5.773,3.443,5.107,8.966,7.822,7.395,7.299,7.722,5.841,7.275,4.478,6.918,8.193,5.303,1704694,http://www.wikidata.org/entity/Q340,-73.561666666,45.508888888,11.5,6.8,2,1000.4,13,14,13
Ottawa,Canada,6.7,6.027,6.055,2.612,1.532,5.405,8.966,8.448,8.011,5.424,9.292,5.841,7.275,6.267,6.092,8.63,5.318,934243,http://www.wikidata.org/entity/Q1930,-75.7,45.416666666,11.4,6.6,1.9,919.5,13,14,13
Quebec,Canada,8.518,6.037,3.735,2.237,1.382,5.28,8.966,9.16,8.131,5.42,7.316,5.841,7.275,3.298,5.637,8.622,4.719,531902,http://www.wikidata.org/entity/Q2145,-71.224167,46.816111,9.2,4.2,-0.8,1189.8,13,14,13
Saskatoon,Canada,7.16,5.042,3.114,0.0,1.259,5.806,8.966,6.638,7.514,5.344,7.758,5.841,7.275,4.89,1.0,7.336,0.5,246376,http://www.wikidata.org/entity/Q10566,-106.683333333,52.133333333,8.6,2.6,-3.5,353.7,13,14,13
Toronto,Canada,4.66,5.271,9.981,7.602,4.335,4.683,8.966,7.694,8.064,7.603,7.178,5.841,7.275,4.383,7.826,7.928,5.594,2731571,http://www.wikidata.org/entity/Q172,-79.4,43.7,12.9,9.4,5.8,831.2,13,14,13
Vancouver,Canada,4.081,5.259,8.17,5.842,2.771,4.937,8.966,7.57,8.038,6.889,8.423,5.841,7.275,4.551,5.717,8.295,7.4,631486,http://www.wikidata.org/entity/Q24639,-123.1,49.25,13.9,10.4,6.8,1189,13,14,13
Victoria,Canada,5.696,5.703,4.479,2.719,1.494,5.226,8.966,7.808,7.693,5.382,9.295,5.841,7.275,6.195,4.523,8.782,4.356,80032,http://www.wikidata.org/entity/Q2132,-123.3657,48.422151,13.5,10.3,7.1,607.6,13,14,13
Winnipeg,Canada,7.553,5.882,3.796,0.0,1.475,5.105,8.966,6.016,7.756,5.344,5.675,5.841,7.275,4.903,4.688,6.659,4.243,705244,http://www.wikidata.org/entity/Q2135,-97.15,49.883333,8.7,3,-2.7,521.2,13,14,13
Cape Town,South Africa,6.764,7.955,5.611,3.725,2.163,3.842,4.732,5.328,4.343,0.895,6.608,2.768,5.151,5.613,4.736,3.66,6.751,433688,http://www.wikidata.org/entity/Q5465,18.425,-33.925,22,16.2,11.4,515,77,99,77
Johannesburg,South Africa,8.012,7.575,4.937,1.467,3.203,3.916,4.732,5.166,3.649,0.758,4.326,2.768,5.151,2.838,4.402,3.66,2.956,4434827,http://www.wikidata.org/entity/Q34647,28.050277777,-26.145,21.9,15.5,10.1,713,77,99,77
Casablanca,Morocco,8.822,9.088,3.098,0.0,2.914,4.26,5.614,6.776,4.47,0.0,2.256,3.174,3.3,2.067,2.683,2.945,3.994,4370000,http://www.wikidata.org/entity/Q7903,-7.62,33.599166666,21.9,18,15.1,,136,99,147
Chisinau,Moldova,9.676,9.343,3.054,0.0,1.602,5.495,5.443,7.628,5.066,1.4,4.338,3.977,6.232,5.362,2.712,6.647,3.121,685900,http://www.wikidata.org/entity/Q21197,28.8575,47.005555555,14.6,10.2,6.4,542,59,69,57
Cork,Ireland,5.515,4.902,3.988,2.87,2.362,5.504,8.346,8.84,7.426,4.879,8.013,7.515,6.255,9.144,2.532,8.631,0.5,119230,http://www.wikidata.org/entity/Q36647,-8.473055555,51.9,12.9,9.9,6.9,1228,5,10,4
