FIPS Code,County,State,"County, State",Percentile Sociodemographic Domain Score,Percentile Air Domain Score,Percentile Water Domain Score,Percentile Built-Environment Domain Score,Percentile Land Domain Score,Percentile Adults with less than High School Diploma,Percentile Adults with High School Diploma,Percentile Adults completing a College Degree,Percentile Total Labour Force,Percentile Employed,Percentile Unemployed,Percentile Median Monthly Rent (Studio)
8093,Park County,Colorado,"Park County, CO",82.88259625,97.07286032,36.20744512,42.85714286,93.09576837,0.349984092,15.49475024,92.01399936,49.41139039,49.53865733,47.50238626,2.52943048
8095,Phillips County,Colorado,"Phillips County, CO",43.33439389,85.71428571,27.076042,97.90009545,20.07636017,57.44511613,29.55774738,56.69742284,11.54947502,11.86764238,8.526885142,17.35602927
8097,Pitkin County,Colorado,"Pitkin County, CO",99.80909959,97.58192809,35.25294305,99.84091632,93.73210309,1.336302895,0.731784919,3.054406618,49.02958956,48.83868915,54.40661788,2.195354757
8099,Prowers County,Colorado,"Prowers County, CO",32.80305441,93.95482024,25.07158766,90.10499523,29.11231308,87.46420617,11.88355075,86.39834553,32.32580337,32.32580337,32.35762011,28.92141266
8101,Pueblo County,Colorado,"Pueblo County, CO",75.15112949,89.59592746,27.04422526,53.38848234,69.48775056,38.53006682,26.55106586,90.13681196,86.82787146,86.25517022,91.31403118,16.36971047
8103,Rio Blanco County,Colorado,"Rio Blanco County, CO",70.88768692,58.70187719,73.21030862,92.39580019,91.21858097,26.66242444,33.00986319,83.74164811,14.25389755,14.30162265,19.44002545,22.66942412
8105,Rio Grande County,Colorado,"Rio Grande County, CO",29.27139675,92.80941775,43.39802736,89.21412663,28.25326122,58.25644289,26.77378301,56.42698059,28.88959593,28.36461979,39.37321031,29.12822144
8107,Routt County,Colorado,"Routt County, CO",97.04104359,95.60929049,44.89341394,96.85014318,87.59147311,3.706649698,2.163538021,32.83487114,58.73369392,58.8927776,57.23830735,2.89532294
8109,Saguache County,Colorado,"Saguache County, CO",25.38975501,88.10054088,41.13903913,73.71937639,78.96913777,67.51511295,35.74610245,56.85650652,17.62647152,17.46738785,24.19662743,27.36239262
8111,San Juan County,Colorado,"San Juan County, CO",85.65065224,96.94559338,72.12853961,100,100,2.513522113,33.00986319,53.42029908,1.431753102,1.463569838,1.670378619,10.38816417
8113,San Miguel County,Colorado,"San Miguel County, CO",98.63188037,99.23639835,26.72605791,99.74546612,91.0594973,0.699968183,3.468024181,2.75214763,30.32134903,30.03499841,33.45529749,4.549793191
8115,Sedgwick County,Colorado,"Sedgwick County, CO",12.56761056,89.34139357,76.86923322,94.62297168,33.78937321,46.22971683,14.23798918,98.48870506,4.454342984,4.34298441,5.361119949,33.90073178
8117,Summit County,Colorado,"Summit County, CO",97.74101177,94.3684378,33.34393891,97.20012727,90.58224626,15.43111677,1.145402482,11.2153993,68.2787146,68.40598155,64.89023226,2.131721285
8119,Teller County,Colorado,"Teller County, CO",80.7826917,92.4912504,28.5077951,72.00127267,94.17753738,0.954502068,10.24498886,86.06426981,53.13394846,53.19758193,55.74292078,14.82659879
8121,Washington County,Colorado,"Washington County, CO",34.68024181,80.68724149,52.52943048,67.13331212,51.98854598,23.44893414,37.4482978,94.76614699,13.80846325,14.04708877,10.99268215,15.49475024
